"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"458","UCL","1995-1996","halbfinale","1st(1st leg)","Juventus","FC Nantes","2:0 (0:0)","1st(1st leg): 03/04/1996"
"459","UCL","1995-1996","halbfinale","2nd (2nd leg)","FC Nantes","Juventus","3:2 (1:1)","2nd (2nd leg): 17/04/1996"
"460","UCL","1996-1997","halbfinale","1st(1st leg)","AFC Ajax","Juventus","1:2 (0:2)","1st(1st leg): 09/04/1997"
"461","UCL","1996-1997","halbfinale","2nd (2nd leg)","Juventus","AFC Ajax","4:1 (2:0)","2nd (2nd leg): 23/04/1997"
"462","UCL","1996-1997","halbfinale","1st(1st leg)","Borussia Dortmund","Manchester United","1:0 (0:0)","1st(1st leg): 09/04/1997"
"463","UCL","1996-1997","halbfinale","2nd (2nd leg)","Manchester United","Borussia Dortmund","0:1 (0:1)","2nd (2nd leg): 23/04/1997"
"464","UCL","1997-1998","halbfinale","1st(1st leg)","Juventus","AS Monaco","4:1 (2:1)","1st(1st leg): 01/04/1998"
"465","UCL","1997-1998","halbfinale","2nd (2nd leg)","AS Monaco","Juventus","3:2 (1:1)","2nd (2nd leg): 15/04/1998"
"466","UCL","1997-1998","halbfinale","1st(1st leg)","Real Madrid","Borussia Dortmund","2:0 (1:0)","1st(1st leg): 01/04/1998"
"467","UCL","1997-1998","halbfinale","2nd (2nd leg)","Borussia Dortmund","Real Madrid","0:0 (0:0)","2nd (2nd leg): 15/04/1998"
"468","UCL","1998-1999","halbfinale","1st(1st leg)","Dinamo Kiev","Bayern München","3:3 (2:1)","1st(1st leg): 07/04/1999 19:45"
"469","UCL","1998-1999","halbfinale","2nd (2nd leg)","Bayern München","Dinamo Kiev","1:0 (1:0)","2nd (2nd leg): 21/04/1999 19:45"
"470","UCL","1998-1999","halbfinale","1st(1st leg)","Manchester United","Juventus","1:1 (0:1)","1st(1st leg): 07/04/1999 19:45"
"471","UCL","1998-1999","halbfinale","2nd (2nd leg)","Juventus","Manchester United","2:3 (2:2)","2nd (2nd leg): 21/04/1999 19:45"
"472","UCL","1999-2000","halbfinale","1st(1st leg)","Valencia CF","FC Barcelona","4:1 (3:1)","1st(1st leg): 02/05/2000"
"473","UCL","1999-2000","halbfinale","2nd (2nd leg)","FC Barcelona","Valencia CF","2:1 (0:0)","2nd (2nd leg): 10/05/2000"
"474","UCL","1999-2000","halbfinale","1st(1st leg)","Real Madrid","Bayern München","2:0 (2:0)","1st(1st leg): 02/05/2000"
"475","UCL","1999-2000","halbfinale","2nd (2nd leg)","Bayern München","Real Madrid","2:1 (1:1)","2nd (2nd leg): 10/05/2000"
"476","UCL","2000-2001","halbfinale","1st(1st leg)","Real Madrid","Bayern München","0:1 (0:0)","1st(1st leg): 01/05/2001 19:45"
"477","UCL","2000-2001","halbfinale","2nd (2nd leg)","Bayern München","Real Madrid","2:1 (2:1)","2nd (2nd leg): 09/05/2001 19:45"
"478","UCL","2000-2001","halbfinale","1st(1st leg)","Leeds United","Valencia CF","0:0 (0:0)","1st(1st leg): 02/05/2001 19:45"
