"","COMP","SEASON","ROUND","TEAM1","TEAM2","WINNER","L1D","L2D","TYPE","LEG_ID","T1G","T2G","G1_ID","G2_ID"
"66","UCL","2000-2001","R8","Manchester United","Bayern München","Bayern München",2001-04-03,2001-04-18,"G","G20",1,3,139,140
"67","UCL","2000-2001","R8","Galatasaray","Real Madrid","Real Madrid",2001-04-03,2001-04-18,"G","G21",3,5,141,142
"68","UCL","2000-2001","R8","Leeds United","Deportivo La Coruña","Leeds United",2001-04-04,2001-04-17,"G","G22",3,2,143,144
"69","UCL","2001-2002","R8","Bayern München","Real Madrid","Real Madrid",2002-04-02,2002-04-10,"G","G23",2,3,145,146
"70","UCL","2001-2002","R8","Deportivo La Coruña","Manchester United","Manchester United",2002-04-02,2002-04-10,"G","G24",2,5,147,148
"71","UCL","2001-2002","R8","Panathinaikos","FC Barcelona","FC Barcelona",2002-04-03,2002-04-09,"G","G25",2,3,149,150
"72","UCL","2001-2002","R8","Liverpool FC","Bayer Leverkusen","Bayer Leverkusen",2002-04-03,2002-04-09,"G","G26",3,4,151,152
"73","UCL","2002-2003","R8","Real Madrid","Manchester United","Real Madrid",2003-04-08,2003-04-23,"G","G27",6,5,153,154
"74","UCL","2002-2003","R8","AFC Ajax","AC Milan","AC Milan",2003-04-08,2003-04-23,"G","G28",2,3,155,156
"75","UCL","1994-1995","R4","Bayern München","AFC Ajax","AFC Ajax",1995-04-05,1995-04-19,"G","G29",2,5,157,158
"76","UCL","1994-1995","R4","Paris Saint-Germain","AC Milan","AC Milan",1995-04-05,1995-04-19,"G","G30",0,3,159,160
"77","UCL","1995-1996","R4","AFC Ajax","Panathinaikos","AFC Ajax",1996-04-03,1996-04-17,"G","G31",3,1,161,162
"78","UCL","1995-1996","R4","Juventus","FC Nantes","Juventus",1996-04-03,1996-04-17,"G","G32",4,3,163,164
"79","UCL","1996-1997","R4","AFC Ajax","Juventus","Juventus",1997-04-09,1997-04-23,"G","G33",2,6,165,166
"80","UCL","1996-1997","R4","Borussia Dortmund","Manchester United","Borussia Dortmund",1997-04-09,1997-04-23,"G","G34",2,0,167,168
"81","UCL","1997-1998","R4","Juventus","AS Monaco","Juventus",1998-04-01,1998-04-15,"G","G35",6,4,169,170
"82","UCL","1997-1998","R4","Real Madrid","Borussia Dortmund","Real Madrid",1998-04-01,1998-04-15,"G","G36",2,0,171,172
"83","UCL","1998-1999","R4","Dinamo Kiev","Bayern München","Bayern München",1999-04-07,1999-04-21,"G","G37",3,4,173,174
"84","UCL","1998-1999","R4","Manchester United","Juventus","Manchester United",1999-04-07,1999-04-21,"G","G38",4,3,175,176
"85","UCL","1999-2000","R4","Valencia CF","FC Barcelona","Valencia CF",2000-05-02,2000-05-10,"G","G39",5,3,177,178
"86","UCL","1999-2000","R4","Real Madrid","Bayern München","Real Madrid",2000-05-02,2000-05-10,"G","G40",3,2,179,180
"87","UCL","2000-2001","R4","Real Madrid","Bayern München","Bayern München",2001-05-01,2001-05-09,"G","G41",1,3,181,182
"88","UCL","2000-2001","R4","Leeds United","Valencia CF","Valencia CF",2001-05-02,2001-05-08,"G","G42",0,3,183,184
"89","UCL","2001-2002","R4","FC Barcelona","Real Madrid","Real Madrid",2002-04-23,2002-05-01,"G","G43",1,3,185,186
"90","UCL","2002-2003","R4","Real Madrid","Juventus","Juventus",2003-05-06,2003-05-14,"G","G44",3,4,187,188
"91","UCL","2003-2004","R8","FC Porto","Olympique Lyon","FC Porto",2004-03-23,2004-04-07,"G","G45",4,2,189,190
"92","UCL","2003-2004","R8","AC Milan","Deportivo La Coruña","Deportivo La Coruña",2004-03-23,2004-04-07,"G","G46",4,5,191,192
"93","UCL","2003-2004","R8","Chelsea FC","Arsenal FC","Chelsea FC",2004-03-24,2004-04-06,"G","G47",3,2,193,194
"94","UCL","2004-2005","R8","Liverpool FC","Juventus","Liverpool FC",2005-04-05,2005-04-13,"G","G48",2,1,195,196
"95","UCL","2004-2005","R8","Chelsea FC","Bayern München","Chelsea FC",2005-04-06,2005-04-12,"G","G49",6,5,197,198
"96","UCL","2005-2006","R8","Arsenal FC","Juventus","Arsenal FC",2006-03-28,2006-04-05,"G","G50",2,0,199,200
"97","UCL","2005-2006","R8","SL Benfica","FC Barcelona","FC Barcelona",2006-03-28,2006-04-05,"G","G51",0,2,201,202
"98","UCL","2005-2006","R8","Olympique Lyon","AC Milan","AC Milan",2006-03-29,2006-04-04,"G","G52",1,3,203,204
"99","UCL","2006-2007","R8","AC Milan","Bayern München","AC Milan",2007-04-03,2007-04-11,"G","G53",4,2,205,206
"100","UCL","2006-2007","R8","PSV Eindhoven","Liverpool FC","Liverpool FC",2007-04-03,2007-04-11,"G","G54",0,4,207,208
"101","UCL","2006-2007","R8","AS Roma","Manchester United","Manchester United",2007-04-04,2007-04-10,"G","G55",3,8,209,210
"102","UCL","2006-2007","R8","Chelsea FC","Valencia CF","Chelsea FC",2007-04-04,2007-04-10,"G","G56",3,2,211,212
"103","UCL","2003-2004","R4","AS Monaco","Chelsea FC","AS Monaco",2004-04-20,2004-05-05,"G","G57",5,3,213,214
